enc;p5_1;p5_2;p5_3;p5_4;p5_5;p5_6;p5_7;p5_8;p5_9;p5_10;p5_11;p7_1;p7_2;p7_3;p7_4;p7_5;p7_6;p7_7;p8
78;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
79;7;7;7;8;8;8;8;7;7;7;7;8;8;8;8;8;8;8;8
80;9;9;10;10;9;9;10;9;10;9;9;8;10;10;10;9;10;10;10
94;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
95;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
96;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
97;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
98;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
99;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
100;8;9;8;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;10
101;10;10;10;10;1;10;10;10;10;10;10;9;10;10;10;10;10;10;10
102;10;10;9;10;10;10;10;9;10;10;9;9;10;10;10;10;10;10;9
103;7;8;7;8;9;9;8;9;9;9;9;8;9;9;9;9;10;10;5
104;9;9;9;9;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
105;10;4;8;8;1;8;4;2;5;3;5;9;9;9;9;9;9;9;5
106;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
107;9;9;9;9;1;9;9;7;9;10;10;10;10;10;10;10;10;10;10
108;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
109;9;9;9;9;2;8;8;10;9;9;9;10;10;10;10;10;10;10;10
110;10;10;10;10;6;10;10;9;10;10;10;9;9;10;10;9;9;10;10
111;9;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
112;10;10;10;10;1;10;10;10;10;10;10;8;10;10;10;10;7;10;10
113;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
114;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
115;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
116;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
117;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
118;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;8;10;10;10
119;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
120;10;10;10;10;1;10;10;8;10;10;10;9;9;9;9;9;9;9;10
121;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
122;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
123;10;10;10;10;1;10;10;8;9;10;10;9;10;10;10;10;10;10;10
124;10;10;9;9;1;10;8;10;10;9;9;7;9;9;9;8;9;10;9
125;4;10;10;10;1;10;10;10;10;10;10;5;10;10;10;10;10;10;6
126;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
127;10;10;10;10;1;10;10;10;10;10;10;9;10;10;10;9;10;10;10
128;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;7;10;10
129;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
130;10;10;10;10;1;10;10;10;10;10;10;6;8;9;9;9;9;9;9
131;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
132;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
133;8;8;8;8;1;8;8;6;6;8;8;10;10;10;10;10;10;10;7
134;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
135;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
136;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
137;10;10;10;10;10;10;10;8;10;10;10;10;10;10;7;10;10;10;9
138;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
139;9;9;9;9;1;9;10;10;10;10;10;10;9;10;10;10;10;10;10
140;9;10;9;9;1;9;9;9;9;9;9;10;10;10;10;10;10;10;10
141;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
142;10;10;10;10;1;10;10;7;10;10;10;8;9;10;10;8;8;10;10
143;1;1;1;1;1;3;1;1;1;5;1;5;5;9;3;9;9;9;1
144;10;10;10;10;1;10;10;1;10;10;10;10;10;10;10;10;10;10;10
145;7;9;10;9;1;9;9;2;8;9;8;6;6;8;8;7;8;10;10
146;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
147;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
148;7;8;8;1;8;8;7;7;7;8;8;8;8;8;8;5;6;7;7
149;8;10;10;10;1;10;10;10;10;10;10;8;4;8;9;4;4;10;10
150;10;10;10;10;1;9;10;9;10;10;10;10;10;10;10;9;10;10;9
151;5;7;7;7;1;8;7;7;8;8;8;7;8;9;10;10;10;10;10
152;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
153;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
154;9;9;9;7;1;7;7;10;10;10;10;10;10;10;10;10;10;10;10
155;10;10;10;10;10;10;10;9;10;10;10;10;9;10;10;10;9;10;10
156;10;10;10;10;1;10;10;2;4;10;10;10;10;10;10;10;10;10;8
157;9;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
158;9;9;9;9;1;8;9;5;9;9;9;10;10;10;10;10;10;10;9
159;7;6;6;8;1;8;7;4;7;7;7;6;8;8;8;8;8;8;8
160;10;5;7;8;1;6;7;3;8;9;9;7;9;8;8;9;7;9;8
161;10;9;9;10;1;9;9;5;9;10;10;10;10;10;10;10;10;10;6
162;8;8;7;8;1;9;9;7;8;9;8;9;9;9;9;9;9;8;9
163;10;10;10;10;1;10;10;4;10;10;10;10;10;10;10;10;10;10;10
203;9;8;8;9;8;9;9;10;10;8;8;9;9;9;9;9;9;9;9
204;8;8;9;8;6;8;8;10;10;9;9;8;8;8;8;8;8;8;8
205;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;10
206;8;8;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;8
207;10;10;9;10;10;10;9;10;10;9;9;10;10;10;10;10;10;10;10
208;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
209;7;8;7;8;7;7;7;9;9;8;9;9;9;9;9;9;9;9;7
210;10;10;10;9;9;10;9;10;10;10;10;9;10;10;10;9;9;10;10
211;9;10;9;10;9;10;10;10;10;9;9;10;10;10;10;10;10;10;10
212;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9
213;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
214;8;8;9;9;9;9;8;9;9;8;8;8;8;8;8;8;8;8;8
215;9;8;9;8;8;8;8;9;9;9;9;9;8;8;9;9;9;9;9
216;10;10;9;10;10;10;10;10;10;9;9;10;10;10;10;10;10;10;10
217;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;10
218;9;8;9;8;8;9;9;9;9;9;9;7;8;8;9;7;8;9;8
219;6;6;6;6;6;5;5;8;8;6;6;7;8;8;8;6;8;8;5
220;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
221;9;8;9;8;8;9;8;8;8;9;9;9;9;9;9;9;9;9;10
222;9;9;9;10;10;10;10;10;10;9;9;9;9;9;10;9;10;10;10
223;10;10;10;10;10;10;10;10;10;10;10;9;10;10;10;10;8;10;10
224;7;8;8;8;7;8;8;9;9;8;8;8;8;8;9;7;7;9;7
225;10;10;10;10;10;10;10;10;10;10;10;8;8;8;9;10;10;10;9
226;9;8;8;9;8;8;9;8;8;8;8;9;9;9;9;9;9;9;9
227;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;10
228;9;8;8;8;8;9;9;10;10;9;9;6;6;6;6;6;6;6;9
229;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;9
230;8;8;8;8;8;8;8;7;7;8;8;8;8;8;8;8;8;8;9
231;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;10
232;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;10
233;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
234;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;9;9
235;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
236;9;9;9;9;9;9;9;9;9;9;9;6;6;6;6;6;6;6;10
237;10;10;10;10;10;10;10;10;10;10;10;8;8;8;8;8;8;8;10
278;10;10;10;10;10;10;10;10;10;10;10;10;10;8;10;8;8;10;10
279;9;9;8;9;8;8;9;9;9;8;8;6;7;7;8;6;6;8;7
280;9;9;8;8;8;9;8;9;9;8;8;7;7;8;8;7;7;8;8
281;10;10;10;9;9;10;9;9;9;9;9;8;8;9;9;8;8;9;9
282;10;10;10;10;9;10;10;10;10;10;9;8;8;8;10;10;8;10;10
283;9;10;9;10;9;9;9;10;10;10;10;8;8;8;9;9;8;9;9
284;8;8;7;8;7;8;7;8;8;7;7;6;6;8;8;6;6;8;7
285;9;8;8;7;7;8;8;8;7;7;7;8;8;8;9;7;7;8;7
286;9;9;9;10;9;10;9;10;10;9;10;8;8;8;8;7;7;9;9
287;9;10;10;10;9;10;10;10;10;10;10;5;7;8;8;5;5;8;10
288;10;10;9;9;8;9;8;9;9;8;8;5;7;8;8;6;6;8;8
289;9;10;10;10;10;9;9;10;10;9;9;7;8;9;10;8;7;10;10
290;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;10
291;10;9;9;10;10;10;10;9;10;10;10;8;7;8;9;8;8;9;10
292;10;10;10;10;10;9;9;10;10;10;9;8;8;8;9;8;8;10;10
293;9;8;9;10;8;9;8;8;8;9;8;7;7;8;9;7;8;9;8
294;8;9;8;10;8;8;8;10;9;10;8;6;5;8;8;6;5;10;8
295;9;10;10;10;9;9;9;10;10;9;9;7;7;7;8;8;8;9;9
296;10;10;10;10;9;10;10;10;10;10;10;7;8;8;9;9;8;10;9
297;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
298;8;9;9;9;8;9;10;10;10;10;9;8;9;9;9;9;8;9;10
299;9;10;10;10;9;10;9;10;10;10;10;7;6;8;8;7;7;8;8
300;10;10;10;10;10;10;10;10;10;10;10;7;9;9;10;10;10;10;10
301;10;9;9;10;10;9;9;10;10;10;10;7;7;8;9;9;8;9;9
302;9;8;7;8;5;8;8;10;9;9;8;4;5;7;9;5;4;9;9
303;9;9;9;10;9;10;10;10;10;9;9;7;7;8;9;9;8;9;9
304;8;6;7;8;6;5;6;8;8;5;6;5;6;8;8;6;6;8;7
305;9;8;9;9;8;8;9;8;8;8;9;7;8;8;8;8;8;8;9
306;10;8;9;9;9;9;10;10;10;9;9;8;9;9;10;10;8;10;10
307;10;9;9;9;9;10;10;10;10;9;9;6;7;7;8;7;8;8;8
308;9;9;8;9;7;9;9;9;9;8;8;4;5;7;9;5;5;9;9
309;8;8;8;9;8;8;7;9;8;7;7;5;6;8;8;5;5;8;6
310;9;10;10;9;7;8;8;9;9;8;8;6;6;7;8;6;6;8;6
311;8;7;7;8;8;8;8;5;8;8;6;6;7;8;8;7;7;8;8
312;10;9;9;9;8;9;8;9;8;8;8;7;8;8;8;7;7;8;8
353;9;9;9;9;6;9;9;9;9;9;9;9;9;9;9;9;9;9;10
354;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;10
355;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;10
356;9;9;9;9;9;6;9;9;9;9;9;9;9;9;9;9;9;9;10
357;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;10
358;9;9;9;9;7;9;9;9;9;9;9;7;9;9;9;9;9;9;10
359;9;9;9;9;7;9;9;9;9;9;9;8;9;9;9;9;9;9;10
360;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;10
361;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;10
362;9;9;9;9;7;9;9;9;9;9;9;8;9;9;9;9;9;9;10
363;9;9;9;8;9;9;9;9;9;9;9;8;9;9;9;9;9;9;7
364;9;9;9;9;7;9;9;9;9;9;9;9;10;10;10;8;10;10;10
365;10;10;10;10;8;10;10;10;10;10;10;10;10;9;10;9;9;9;10
366;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10
367;9;9;9;9;7;9;9;9;9;9;9;7;8;8;8;8;8;8;7
368;9;9;9;9;7;9;9;9;9;9;9;8;9;9;9;9;9;9;8
369;9;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9;10
370;9;9;9;9;7;9;9;9;9;9;9;8;9;9;9;9;9;9;10
371;9;9;9;9;9;7;9;9;9;9;9;10;10;10;10;10;10;10;10
372;8;8;8;7;8;8;8;8;8;8;8;9;9;9;9;9;9;9;7
373;9;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9;10
374;8;8;8;8;7;8;8;8;8;8;8;7;9;9;9;9;9;9;10
375;9;9;9;9;8;9;9;9;9;9;9;9;10;10;10;10;10;10;10
376;9;9;9;9;8;9;9;9;9;9;9;7;8;8;8;8;8;8;10
377;9;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9;10
