enc;p5_1;p5_2;p5_3;p5_4;p5_5;p5_6;p5_7;p5_8;p5_9;p5_10;p5_11;p7_1;p7_2;p7_3;p7_4;p7_5;p7_6;p7_7;p8
1883;9;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9;10
1884;8;8;8;8;6;8;8;8;8;8;8;7;9;9;9;9;9;9;6
1885;8;8;8;8;7;8;8;8;8;8;8;9;8;9;9;9;9;9;10
1886;8;8;8;8;6;8;8;8;8;8;8;7;10;10;10;10;10;10;9
1887;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10
1888;8;8;8;8;7;8;8;8;8;8;8;7;8;8;8;8;8;8;8
1889;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;10
1890;9;9;9;9;7;9;9;9;9;9;9;5;9;10;10;10;10;10;10
1891;9;9;9;9;6;9;9;9;9;9;9;7;9;9;9;9;9;9;10
1892;9;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9;10
1893;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;10
1894;8;9;9;9;8;8;8;7;8;9;9;5;6;8;8;9;9;9;7
1895;10;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;10;10;7
1896;9;9;8;8;8;8;8;7;9;8;8;9;8;8;9;10;10;10;9
1932;9;9;9;9;7;9;9;9;9;9;9;8;8;9;9;9;9;9;5
1933;9;9;9;9;7;9;9;8;9;9;9;9;9;9;9;9;8;9;6
1934;10;10;10;10;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10
1935;9;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9;9
1936;8;8;8;8;6;8;8;8;8;8;8;8;9;9;9;9;9;9;10
1937;10;10;10;10;9;10;10;10;10;10;10;9;9;9;9;7;7;9;10
1938;10;10;10;10;8;10;10;10;10;10;10;9;10;10;10;10;10;10;10
1939;9;9;9;9;8;9;9;9;9;9;9;8;10;10;9;10;9;10;10
1940;9;9;9;9;7;9;9;9;9;9;9;8;9;9;9;9;9;9;8
1941;9;10;10;10;8;9;9;9;9;9;9;8;9;9;9;9;9;9;8
1942;9;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9;10
1943;9;9;9;9;8;9;9;9;9;9;9;8;9;9;10;9;9;10;10
1944;9;9;9;9;9;9;9;9;9;9;9;6;8;8;9;9;9;9;10
1945;9;9;9;9;5;9;9;9;9;9;9;9;9;9;9;9;9;9;10
1946;9;8;8;8;6;8;8;8;8;8;8;8;8;8;8;9;9;9;9
1947;10;10;10;10;7;10;10;10;10;10;10;8;9;10;10;10;10;10;10
1948;9;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9;10
1949;10;10;10;10;8;10;10;7;10;10;10;7;9;9;9;9;9;9;9
1950;8;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9;10
1951;9;9;9;9;7;9;9;9;9;9;9;7;9;9;9;9;9;9;6
1952;10;10;10;10;9;10;10;10;10;10;10;8;8;10;10;8;8;10;8
1953;10;10;10;10;7;10;10;10;10;10;10;9;9;9;9;9;9;9;10
1954;10;10;10;10;7;10;10;10;10;10;10;8;9;9;9;9;9;9;10
1955;9;9;9;9;8;9;9;9;9;9;9;7;9;9;9;9;9;9;10
1956;8;8;8;8;8;8;8;5;8;8;8;6;8;8;8;8;8;8;8
1957;8;9;9;7;5;8;10;8;9;9;9;10;9;9;10;10;9;10;10
1958;8;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;10
1959;9;9;9;9;8;9;9;9;9;9;9;7;8;8;9;9;9;9;10
1960;10;10;10;7;9;9;9;9;9;9;9;10;10;10;10;10;10;10;10
1961;10;10;10;10;8;10;10;10;10;10;10;8;9;9;9;9;9;9;10
1962;10;10;10;10;10;10;10;10;10;10;10;8;8;9;9;9;9;9;10
1963;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
1964;10;10;10;10;8;10;10;9;10;10;10;8;8;8;8;8;8;8;10
1965;3;3;3;3;3;3;3;3;3;3;3;7;8;8;8;8;8;8;6
1966;8;8;8;8;7;8;8;8;8;8;8;8;9;9;9;9;9;9;9
1967;10;10;10;10;8;10;10;10;10;10;10;9;10;10;10;10;10;10;10
1968;8;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;8;8;10
1969;7;9;9;9;9;9;9;9;9;9;9;8;10;10;10;10;10;10;8
1970;10;10;10;10;5;10;10;10;10;10;10;10;10;10;10;10;10;10;10
1971;10;10;10;10;9;10;10;10;10;10;10;10;8;8;10;8;8;10;10
1972;10;10;10;10;7;10;10;10;10;10;10;10;10;10;10;10;10;10;8
1973;10;10;10;10;9;10;10;10;10;10;10;8;8;8;8;8;8;8;10
1974;8;8;8;7;8;8;8;8;8;8;8;6;8;8;8;8;8;8;4
1975;9;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9;6
1976;10;10;10;10;8;10;10;10;10;10;10;7;7;7;8;8;8;8;8
1977;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;10
1978;10;10;10;10;7;10;10;10;10;10;10;8;9;9;9;9;9;9;9
1979;9;9;9;9;6;9;9;9;9;9;9;9;10;10;10;9;10;10;10
1980;9;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9;8
1981;9;9;9;9;7;9;9;9;9;9;9;8;8;8;8;8;8;8;10
1982;8;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9;8
1983;9;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9;8
1984;9;9;9;9;7;9;9;9;9;9;9;8;8;8;8;8;8;8;10
1985;10;10;10;10;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10
1986;10;10;10;10;8;10;1;10;10;10;10;8;9;9;9;9;9;9;10
1987;10;10;10;10;8;10;10;10;10;10;10;8;8;8;8;8;8;8;10
1988;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;5
1989;10;10;10;10;9;10;10;10;10;10;10;8;9;9;9;9;9;9;10
1990;10;10;10;10;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10
1991;10;10;10;10;9;10;10;10;10;10;10;9;9;9;9;9;9;9;10
1992;10;10;10;10;7;10;10;10;10;10;10;7;7;7;7;8;7;8;6
1993;10;10;10;10;8;10;10;10;10;10;10;9;9;9;9;9;9;9;4
1994;10;10;10;10;6;10;10;10;10;10;10;10;10;10;10;10;10;10;10
1995;9;9;9;9;8;9;9;9;9;9;9;9;10;10;10;10;10;10;9
1996;10;10;10;8;10;10;10;10;10;10;10;7;8;8;8;8;8;8;6
1997;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9
1998;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
1999;10;10;10;10;9;10;10;10;10;10;10;9;9;7;9;9;9;9;9
2041;10;10;10;10;9;10;10;10;10;10;10;9;9;10;9;9;10;10;10
2042;10;10;10;10;9;10;10;10;10;10;10;9;9;9;9;9;9;9;10
2043;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;8;10;10;9
2044;10;10;10;10;10;10;10;7;10;10;8;8;8;8;10;9;9;10;8
2045;10;10;10;10;10;9;9;9;10;10;10;9;9;9;10;10;10;10;6
2046;8;7;7;9;5;9;9;10;9;10;10;8;8;8;10;7;7;10;6
2047;10;10;10;10;10;10;9;10;10;10;10;10;10;10;10;10;10;10;10
2048;10;10;10;10;10;10;9;9;10;10;10;10;10;10;9;10;10;10;9
2049;10;10;10;10;10;10;10;10;10;10;10;8;8;8;8;10;10;9;10
2050;10;10;10;10;9;10;10;10;10;10;10;10;10;10;10;10;10;10;9
2051;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2052;9;9;9;9;9;10;10;10;9;10;10;10;10;10;10;10;10;10;10
2053;10;10;10;10;10;10;9;10;10;10;10;10;10;10;9;10;10;9;8
2054;8;8;8;10;10;9;10;10;10;10;10;9;9;9;10;9;9;10;10
2055;10;10;10;10;10;10;10;9;10;10;10;10;10;10;10;10;10;10;10
2056;7;7;7;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;7
2057;8;8;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2058;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2059;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2060;10;10;10;10;8;10;10;10;10;10;10;8;8;10;10;10;10;10;8
2061;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2062;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2063;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;10;10;10;10
2064;10;10;10;10;10;10;10;10;10;10;10;9;9;9;10;10;10;10;10
2065;10;10;10;10;10;10;10;10;5;10;9;10;10;10;10;10;10;10;9
2066;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2067;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;8
2068;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2069;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9
2070;9;9;9;9;9;9;10;10;9;9;9;9;9;9;9;9;9;9;10
2071;9;9;9;9;9;9;10;10;9;9;9;10;10;10;9;9;9;10;10
2072;10;10;9;9;10;10;9;9;10;10;10;10;10;10;9;9;9;8;8
2073;10;10;10;10;9;9;10;9;9;9;9;8;8;8;10;8;8;8;9
2074;9;9;9;9;9;9;9;10;9;9;9;8;10;10;10;9;9;10;8
2075;10;10;10;9;9;9;10;10;9;9;9;9;9;9;9;8;8;9;9
2076;8;8;7;7;8;8;5;10;8;10;10;9;9;9;10;10;10;10;9
2077;9;10;10;9;9;9;10;10;9;9;9;8;8;8;10;7;7;10;8
2078;10;10;10;10;9;9;10;10;9;9;9;8;8;8;10;8;10;10;8
2079;10;10;10;9;9;9;9;9;9;10;10;9;9;9;10;10;10;10;10
2080;10;10;10;9;9;9;10;10;9;9;9;10;10;10;10;9;9;10;7
2081;9;9;9;10;9;9;10;10;9;10;10;10;10;10;10;10;10;10;10
2082;9;9;9;9;9;9;10;9;9;9;9;9;9;9;9;9;9;9;9
2083;9;9;9;9;9;9;10;10;10;10;10;10;10;10;10;8;8;10;10
2084;8;8;8;8;8;9;9;9;8;8;8;8;8;8;9;7;7;9;5
2085;10;10;10;10;10;10;10;5;10;9;9;10;10;10;10;10;10;10;8
2086;10;10;10;9;9;9;9;10;9;9;9;10;10;10;10;10;9;10;10
2087;9;9;9;9;9;9;9;8;8;10;10;10;10;10;10;10;10;10;6
2088;10;10;10;10;9;10;10;10;10;10;10;9;9;9;8;9;9;8;10
2089;5;5;5;8;8;10;5;5;9;10;10;9;9;9;10;8;8;10;9
2090;10;10;10;10;8;9;10;8;10;9;9;8;8;8;10;10;10;10;8
2091;8;8;8;9;9;9;10;10;10;10;10;9;9;9;10;10;10;10;10
2092;10;10;10;10;10;10;10;10;9;9;9;10;10;10;10;10;10;10;10
2093;9;9;9;10;10;10;10;10;9;9;9;9;9;9;10;10;10;10;9
2094;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2095;7;7;7;7;7;7;9;10;9;10;10;9;9;9;8;6;6;8;7
2096;8;8;8;8;8;8;10;9;9;10;10;9;9;9;10;8;8;10;9
2097;10;10;10;10;10;9;10;10;10;10;10;10;10;10;10;10;10;10;10
2098;9;9;9;10;10;10;10;10;8;10;10;10;10;10;10;10;10;10;9
2099;7;7;7;8;8;8;10;10;8;9;9;8;8;8;8;8;8;8;8
2100;8;8;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2101;4;4;2;5;1;5;5;9;8;3;1;10;10;10;10;10;10;10;6
2102;10;10;10;10;10;10;10;10;9;9;9;10;10;10;10;10;9;10;10
2150;8;9;9;9;7;8;8;10;9;9;9;8;8;8;8;8;8;8;7
2151;10;10;10;10;8;10;10;10;10;10;10;9;10;10;10;10;10;10;9
2152;9;9;9;9;8;9;9;10;9;9;9;8;8;9;10;8;8;9;9
2153;6;7;6;5;6;7;7;10;10;8;6;7;5;7;8;6;5;9;7
2154;7;7;4;4;6;5;6;7;5;7;7;8;8;9;7;8;8;8;5
2155;10;9;5;8;9;9;9;10;10;10;10;10;10;10;10;10;10;10;7
2156;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2157;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2158;10;10;10;10;10;10;10;10;10;10;10;9;9;10;10;7;8;10;10
2159;10;10;10;10;10;7;10;10;10;10;10;10;10;10;10;10;10;10;10
2160;10;10;10;10;10;10;10;10;10;10;10;8;10;10;10;9;9;1;10
2161;10;10;4;8;8;9;10;10;10;10;10;10;10;10;10;10;10;10;10
2162;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;10;10
2163;10;10;9;9;5;9;9;10;10;10;10;10;10;9;9;9;9;10;10
2164;7;7;7;9;8;9;9;10;10;9;9;8;8;8;8;8;8;8;9
2165;10;10;10;10;8;10;9;9;9;10;10;5;9;10;10;6;6;10;10
2166;7;7;7;7;8;9;8;9;9;8;8;9;9;9;9;9;9;9;9
2167;5;8;9;9;6;9;9;9;9;9;9;9;9;9;9;7;7;9;8
2168;6;4;8;4;3;3;3;9;9;5;6;9;9;9;7;7;3;2;6
2169;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2170;9;9;9;9;9;9;9;10;10;9;9;8;10;10;10;10;9;9;9
2171;8;10;10;10;7;6;10;6;10;10;10;7;10;10;10;8;8;10;10
2172;8;8;8;9;8;8;8;7;8;9;8;8;8;8;8;7;7;8;8
2173;10;10;10;10;10;10;10;6;10;10;10;10;10;10;10;8;8;9;10
2174;9;10;9;9;9;9;9;9;9;9;9;8;9;9;9;8;8;9;9
2175;6;8;1;7;5;8;8;9;9;9;9;9;9;9;9;9;6;8;8
2176;10;10;10;10;9;10;10;10;10;10;10;3;10;10;10;10;10;10;10
2177;10;10;10;10;10;10;10;10;10;10;10;8;10;10;10;5;10;10;10
2178;10;10;10;10;5;10;10;10;10;10;10;9;10;10;10;9;9;10;8
2179;10;10;10;9;7;8;9;9;9;9;9;8;9;9;9;9;9;8;8
2180;7;9;7;8;9;7;7;10;10;10;10;8;8;8;8;7;8;10;7
2181;8;8;8;8;10;8;8;7;7;8;8;8;8;8;8;8;8;8;8
2182;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
2183;8;9;9;9;5;7;9;5;8;8;9;8;8;8;8;7;5;7;8
2184;10;10;10;10;10;10;10;10;10;10;10;6;10;10;10;10;5;10;10
2185;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
2186;10;10;10;10;7;10;10;10;10;10;10;10;9;9;10;10;10;10;10
2187;10;10;10;10;8;10;10;10;10;10;10;10;10;10;10;10;8;10;10
2188;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2189;10;10;10;10;10;10;10;9;10;10;10;9;10;10;10;9;8;10;10
2190;6;5;1;4;6;9;5;5;9;7;7;9;9;9;9;8;8;9;6
2191;9;9;6;7;7;9;9;2;5;8;8;7;7;7;8;8;5;8;7
2192;10;10;10;10;10;10;10;7;10;10;10;8;10;10;10;8;8;10;10
2193;9;9;9;9;9;9;9;9;10;9;9;5;6;6;6;2;2;9;9
2194;9;8;8;9;7;9;9;7;8;8;8;7;7;5;8;7;7;8;9
2195;10;10;10;9;8;10;10;8;8;10;10;9;10;7;10;8;7;9;8
2196;8;8;7;8;7;8;8;7;8;8;7;5;5;5;8;6;6;8;5
2197;10;10;10;10;9;10;10;8;10;10;8;8;9;7;9;7;8;9;8
2198;8;8;8;9;7;9;9;10;9;9;8;7;8;7;9;8;8;8;8
2199;8;9;9;10;10;10;10;10;10;9;9;9;9;7;9;8;8;9;7
2200;9;9;9;10;10;10;10;9;10;10;9;8;9;6;9;8;7;9;10
2201;9;7;7;8;8;7;8;5;7;5;5;8;6;5;8;8;1;8;3
2202;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;8;8;10;9
2203;9;8;8;8;7;8;8;9;9;8;8;8;8;6;8;7;5;8;5
2204;9;8;8;8;7;9;9;7;8;8;8;8;8;5;8;8;9;9;9
2205;7;9;9;9;8;9;9;10;10;9;9;8;9;7;9;9;9;9;9
2243;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2244;7;8;8;8;8;8;8;8;8;7;7;8;7;7;8;8;8;8;8
2245;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2246;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;9
2247;10;10;10;10;10;10;10;10;10;10;10;8;8;8;8;8;8;8;8
2248;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2249;10;10;10;10;10;10;10;10;10;10;10;9;9;8;9;9;9;9;9
2250;10;9;9;9;8;9;9;9;9;8;8;9;9;8;8;9;8;9;8
2251;9;9;9;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;9
2252;10;10;10;10;10;10;10;10;10;10;10;10;9;9;10;10;10;10;10
2253;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2254;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2255;7;7;7;7;7;7;7;7;7;7;7;9;9;5;9;9;9;9;7
2256;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9
2257;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;10
2258;5;5;5;5;5;4;5;6;4;4;4;9;9;9;9;9;9;9;5
2259;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10
2260;10;10;9;10;10;10;9;10;10;10;10;10;10;10;10;10;10;10;10
2261;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2262;8;7;7;7;9;9;8;8;9;9;9;8;8;8;8;8;8;8;8
2263;8;8;8;7;6;6;6;5;5;5;5;7;7;5;7;7;7;7;7
2264;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2265;6;6;6;6;6;6;6;9;7;6;6;10;10;10;10;10;10;10;6
2266;5;5;5;5;5;5;5;3;5;5;5;9;9;9;9;9;9;9;5
2267;7;7;7;7;7;7;7;7;7;7;7;9;9;9;9;9;9;9;6
2268;6;6;6;6;6;6;6;8;6;6;6;9;9;9;9;9;9;9;6
2269;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
2270;8;8;8;8;7;8;8;9;8;8;8;9;9;9;9;9;9;9;8
2271;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2272;7;7;7;5;5;6;6;5;7;7;7;9;9;9;9;9;9;9;7
2273;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9
2274;7;7;7;7;7;7;7;7;7;7;7;10;10;10;10;10;10;10;7
2275;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;10
2276;10;10;8;8;8;8;9;10;9;8;8;9;9;9;9;9;9;9;8
2277;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
2278;7;7;7;7;7;7;7;7;7;7;7;9;9;9;9;9;9;9;7
2279;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
2280;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10
2281;9;9;9;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;9
2282;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2283;9;9;9;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;9
2343;9;8;8;8;5;8;8;8;8;8;8;9;9;9;8;9;9;9;9
2344;8;8;8;8;3;8;8;8;8;8;8;7;9;9;10;10;10;10;8
2345;10;10;10;10;5;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2346;10;10;10;10;5;10;10;10;10;10;10;8;9;9;9;9;9;9;10
2347;6;8;7;7;1;8;8;1;8;8;8;8;8;8;7;7;7;7;6
2348;10;10;10;10;2;10;10;10;10;10;10;9;9;9;9;9;9;9;10
2349;9;9;9;8;3;9;8;9;9;9;9;8;10;10;10;10;10;10;10
2350;8;9;9;9;5;9;9;9;9;9;9;10;10;10;10;10;10;10;9
2351;10;9;9;9;2;9;9;9;9;9;9;10;10;10;10;10;10;10;9
2352;1;2;3;3;1;3;3;5;5;6;4;6;6;6;5;6;6;6;5
2353;10;10;10;10;9;10;10;9;10;10;10;8;10;10;10;10;10;10;10
2354;6;6;6;6;3;6;6;6;6;6;6;6;6;6;7;7;7;7;7
2355;9;9;9;10;10;9;9;9;9;9;9;8;9;9;10;10;10;10;9
2356;10;10;10;10;10;10;10;9;9;9;9;10;10;10;10;10;10;10;10
2357;9;9;9;9;3;9;9;9;9;9;9;9;8;8;9;9;9;9;9
2358;10;10;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;10;10
2359;9;9;9;9;3;9;9;9;9;9;9;9;10;10;10;10;10;10;10
2360;10;10;10;10;2;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2361;9;9;9;9;4;9;9;9;9;9;9;8;10;10;10;10;10;10;9
2362;10;10;10;10;4;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2363;7;7;7;4;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
2364;7;7;7;7;4;7;7;7;7;7;7;8;9;9;9;9;9;9;7
2365;8;8;8;8;6;8;8;7;8;7;8;7;8;9;9;8;9;9;8
2366;8;8;9;8;4;9;9;8;10;10;10;8;9;9;9;10;9;10;8
2367;8;8;8;9;8;8;9;10;10;10;10;9;9;9;9;9;9;9;9
2368;9;9;9;9;9;10;10;10;9;9;9;9;9;9;9;9;9;9;9
2369;8;8;8;8;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9
2370;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2371;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2372;9;9;9;9;3;10;9;9;10;10;9;9;9;9;9;9;9;9;9
2419;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;10
2420;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;9
2421;10;10;10;10;10;10;10;10;10;10;10;7;7;7;7;7;7;7;9
2422;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;9
2423;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
2424;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;7;9
2425;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2426;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2427;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2428;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2429;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
2430;7;7;6;6;6;7;6;6;7;7;7;10;10;10;10;10;10;10;7
2431;10;10;10;9;9;9;10;10;10;10;10;7;7;7;7;7;7;7;9
2432;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2433;9;9;9;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;9
2434;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
2435;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2436;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2437;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9
2438;8;8;8;8;7;8;8;9;8;8;8;8;8;8;8;8;8;9;8
2439;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2440;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
2441;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2442;7;7;7;7;7;7;7;7;7;7;7;8;8;8;8;8;8;8;7
2443;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2444;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
2445;7;8;8;8;6;8;6;7;7;7;7;7;7;7;7;7;7;7;7
2495;9;9;9;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;10
2496;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2497;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10
2498;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2499;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2500;9;9;9;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;9
2501;9;10;10;10;10;10;10;10;10;10;10;7;9;9;9;9;9;9;10
2502;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
2503;7;7;7;9;7;7;7;7;7;7;7;9;9;9;9;9;9;9;7
2504;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;8;8;8;9
2505;8;9;9;9;9;9;9;9;9;9;9;8;8;8;8;8;8;8;10
2506;4;5;7;7;7;7;6;6;6;5;5;8;8;8;8;8;8;8;8
2507;7;7;7;9;9;9;10;10;10;10;10;8;8;8;8;8;8;8;8
2508;9;9;9;9;9;9;9;9;9;9;9;10;8;8;10;10;10;10;10
2509;7;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2510;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2511;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2512;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2513;10;10;10;10;10;10;10;10;10;10;10;8;10;10;10;10;8;10;10
2514;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;10;9
2515;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2516;10;10;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;10;10
2517;10;10;10;10;10;10;10;9;10;10;10;9;10;10;10;10;10;10;10
2518;9;9;10;10;9;10;10;10;10;10;10;9;10;10;10;10;10;10;10
2519;10;10;10;10;10;10;10;9;10;10;10;9;10;10;10;10;10;10;10
2520;10;10;10;10;5;10;10;10;10;10;10;6;10;10;8;10;10;10;10
2521;10;10;10;10;5;10;10;9;10;10;10;8;9;10;10;10;10;10;9
2522;10;8;9;10;10;10;10;10;9;9;10;7;10;10;10;10;10;10;10
2523;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2524;10;10;10;10;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2525;10;8;9;9;9;9;9;10;10;10;10;9;9;9;9;10;10;10;10
2526;10;10;10;10;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2527;10;10;10;10;10;10;10;10;10;10;10;8;10;10;10;10;10;10;10
2528;8;8;8;8;8;8;8;8;8;8;8;7;8;8;8;8;8;8;8
2529;10;9;10;10;8;10;10;10;10;10;10;8;8;10;10;10;10;10;10
2530;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2531;10;1;10;10;10;10;10;10;10;10;10;8;8;8;10;8;8;10;10
2571;9;8;8;8;7;8;8;10;10;10;10;10;10;10;10;10;10;10;8
2572;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2573;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
2574;7;10;6;6;7;7;10;10;10;10;10;10;10;10;8;8;8;8;10
